uf,capital,lat,lon
AC,Rio Branco,-9.9747,-67.8100
AL,Maceio,-9.6498,-35.7089
AP,Macapa,0.0349,-51.0694
AM,Manaus,-3.1190,-60.0217
BA,Salvador,-12.9777,-38.5016
CE,Fortaleza,-3.7319,-38.5267
DF,Brasilia,-15.7939,-47.8828
ES,Vitoria,-20.3155,-40.3128
GO,Goiania,-16.6869,-49.2648
MA,Sao Luis,-2.5307,-44.3068
MT,Cuiaba,-15.6014,-56.0979
MS,Campo Grande,-20.4697,-54.6201
MG,Belo Horizonte,-19.9167,-43.9345
PA,Belem,-1.4558,-48.5044
PB,Joao Pessoa,-7.1195,-34.8450
PR,Curitiba,-25.4284,-49.2733
PE,Recife,-8.0476,-34.8770
PI,Teresina,-5.0892,-42.8019
RJ,Rio de Janeiro,-22.9068,-43.1729
RN,Natal,-5.7945,-35.2110
RS,Porto Alegre,-30.0346,-51.2177
RO,Porto Velho,-8.7619,-63.9039
RR,Boa Vista,2.8235,-60.6758
SC,Florianopolis,-27.5954,-48.5480
SP,Sao Paulo,-23.5505,-46.6333
SE,Aracaju,-10.9472,-37.0731
TO,Palmas,-10.2491,-48.3243
